rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago,effective_date
666,AVTR,Avantor,1,3,802,1,2023-06-25 19:58:48.521072
667,ARKK,ARK Investment Management LLC - ARK Innovation ETF,1,-2,804,1,2023-06-25 19:58:48.521072
668,SCHG,Schwab Strategic Trust - CSIM Schwab U.S. Large-Cap Growth ETF,1,1,806,1,2023-06-25 19:58:48.521072
669,APPH,AppHarvest,1,1,807,1,2023-06-25 19:58:48.521072
670,GET,Getnet,1,1,135,3,2023-06-25 19:58:48.521072
671,USO,United States Commodity Funds LLC - United States Oil Fund,1,2,809,1,2023-06-25 19:58:48.521072
672,BH,Biglari,1,1,0,,2023-06-25 19:58:48.521072
673,VPN,Global X Funds - Global X Data Center REITs & Digital Infrastructure E,1,11,810,1,2023-06-25 19:58:48.521072
674,BUD,Anheuser-Busch Inbev,1,3,812,1,2023-06-25 19:58:48.521072
675,BFC,Bank First,1,1,813,1,2023-06-25 19:58:48.521072
676,BK,Bank of New York Mellon,1,4,814,1,2023-06-25 19:58:48.521072
677,SIRI,Sirius XM,1,2,816,1,2023-06-25 19:58:48.521072
678,ICE,Intercontinental Exchange,1,2,818,1,2023-06-25 19:58:48.521072
679,MS,Morgan Stanley,1,2,819,1,2023-06-25 19:58:48.521072
680,SCHF,Schwab Strategic Trust - CSIM Schwab International Equity ETF,1,1,822,1,2023-06-25 19:58:48.521072
681,UST,ProShares Trust - ProShares Ultra 7-10 Year Treasury,1,1,823,1,2023-06-25 19:58:48.521072
682,GOOG,Alphabet (Google),1,5,60,2,2023-06-25 19:58:48.521072
683,PARA,Paramount Global,1,2,294,,2023-06-25 19:58:48.521072
684,VO,"Vanguard Group, Inc. - Vanguard Mid-Cap ETF",1,1,0,,2023-06-25 19:58:48.521072
685,SPIR,Spire Global,1,2,826,1,2023-06-25 19:58:48.521072
686,MMS,Maximus,1,1,828,1,2023-06-25 19:58:48.521072
687,JACK,Jack in the Box,1,20,830,1,2023-06-25 19:58:48.521072
688,USB,U.S. Bancorp,1,1,100,3,2023-06-25 19:58:48.521072
689,DEI,Douglas Emmett,1,1,815,,2023-06-25 19:58:48.521072
690,DDOG,Datadog,1,13,832,1,2023-06-25 19:58:48.521072
691,MVIS,Microvision,1,-2,833,1,2023-06-25 19:58:48.521072
692,CFG,Citizens Financial Group,1,1,835,1,2023-06-25 19:58:48.521072
693,NVOS,Novo Integrated Sciences,1,1,836,1,2023-06-25 19:58:48.521072
694,VNQ,"Vanguard Group, Inc. - Vanguard Real Estate Index Fund ETF",1,1,837,1,2023-06-25 19:58:48.521072
695,QQQM,Invesco Exchange-Traded Fund Trust II - Invesco NASDAQ 100 ETF,1,1,82,4,2023-06-25 19:58:48.521072
696,CARS,Cars.com,1,-6,0,,2023-06-25 19:58:48.521072
697,ANET,Arista Networks,1,2,154,,2023-06-25 19:58:48.521072
698,SAFE,Safehold,1,1,843,1,2023-06-25 19:58:48.521072
699,BR,Broadridge Financial Solutions,1,3,844,1,2023-06-25 19:58:48.521072
700,VSS,"Vanguard Group, Inc. - Vanguard FTSE All-World Ex-US Small Capital Ind",1,1,845,,2023-06-25 19:58:48.521072
701,RPRX,Royalty Pharma,1,2,846,1,2023-06-25 19:58:48.521072
702,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,1,1,847,1,2023-06-25 19:58:48.521072
703,TFIN,Triumph Financial,1,4,848,1,2023-06-25 19:58:48.521072
704,PED,PEDEVCO,1,2,850,1,2023-06-25 19:58:48.521072
705,PEG,PSEG,1,2,851,1,2023-06-25 19:58:48.521072
706,PAY,Paymentus,1,2,852,,2023-06-25 19:58:48.521072
707,FF,FutureFuel,1,1,853,,2023-06-25 19:58:48.521072
708,MKC,McCormick & Company,1,1,0,,2023-06-25 19:58:48.521072
709,CROX,Crocs,1,2,854,1,2023-06-25 19:58:48.521072
710,CVX,Chevron,1,1,920,,2023-06-25 19:58:48.521072
711,ULTA,ULTA Beauty,1,1,855,1,2023-06-25 19:58:48.521072
712,CO,Global Cord Blood,1,2,136,1,2023-06-25 19:58:48.521072
713,FAT,FAT Brands,1,2,0,,2023-06-25 19:58:48.521072
714,PSI,Invesco Capital Management LLC - Invesco Dynamic Semiconductors ETF,1,2,856,1,2023-06-25 19:58:48.521072
715,DRS,Leonardo DRS,1,2,857,1,2023-06-25 19:58:48.521072
716,SNDL,Sundial Growers,1,3,0,,2023-06-25 19:58:48.521072
717,AFK,VanEck Vectors ETF Trust - VanEck Vectors Africa Index ETF,1,6,858,1,2023-06-25 19:58:48.521072
718,RENT,Rent the Runway,1,14,859,1,2023-06-25 19:58:48.521072
719,X,U.S. Steel,1,2,861,1,2023-06-25 19:58:48.521072
720,RIO,Rio Tinto,1,1,0,,2023-06-25 19:58:48.521072
721,EXPE,Expedia,1,2,858,1,2023-06-25 19:58:48.521072
722,SMG,ScottsMiracle-Gro,1,4,863,,2023-06-25 19:58:48.521072
723,ARKF,ARK ETF Trust - ARK Fintech Innovation ETF,1,0,864,1,2023-06-25 19:58:48.521072
724,BTU,Peabody Energy,1,1,865,1,2023-06-25 19:58:48.521072
725,CANO,Cano Health,1,1,866,1,2023-06-25 19:58:48.521072
726,BBC,ETFis Series Trust I - Virtus LifeSci Biotech Clinical Trials ETF,1,1,869,2,2023-06-25 19:58:48.521072
727,AGNC,AGNC Investment,1,-1,871,1,2023-06-25 19:58:48.521072
728,CBRE,CBRE Group,1,1,0,,2023-06-25 19:58:48.521072
729,SCLX,Scilex Holding,1,20,872,1,2023-06-25 19:58:48.521072
730,LL,Lumber Liquidators,1,5,865,1,2023-06-25 19:58:48.521072
731,OZON,Ozon,1,1,867,1,2023-06-25 19:58:48.521072
732,MDB,MongoDB,1,0,874,1,2023-06-25 19:58:48.521072
733,IEP,Icahn Enterprises,1,2,875,1,2023-06-25 19:58:48.521072
734,NA,Nano Labs,1,1,876,1,2023-06-25 19:58:48.521072
735,FUBO,fuboTV,1,2,877,2,2023-06-25 19:58:48.521072
736,RBC,Regal Beloit,1,1,879,1,2023-06-25 19:58:48.521072
737,ASX,ASE Group,1,0,873,1,2023-06-25 19:58:48.521072
738,LHX,L3Harris Technologies,1,14,880,1,2023-06-25 19:58:48.521072
739,NYT,New York Times,1,1,539,,2023-06-25 19:58:48.521072
740,CME,CME Group,1,1,881,1,2023-06-25 19:58:48.521072
741,MGM,MGM Resorts,1,1,790,,2023-06-25 19:58:48.521072
742,IONQ,IonQ,1,1,101,1,2023-06-25 19:58:48.521072
743,ECPG,Encore Capital Group,1,3,882,1,2023-06-25 19:58:48.521072
744,ESPR,Esperion Therapeutics,1,1,883,1,2023-06-25 19:58:48.521072
745,CRC,California Resources Corporation,1,1,879,1,2023-06-25 19:58:48.521072
746,AZO,AutoZone,1,1,0,,2023-06-25 19:58:48.521072
747,LOW,Lowe's Companies,1,1,888,1,2023-06-25 19:58:48.521072
748,TIL,Instil Bio,1,1,31,7,2023-06-25 19:58:48.521072
749,WYNN,Wynn Resorts,1,1,0,,2023-06-25 19:58:48.521072
750,PRPL,Purple Innovation,1,1,889,1,2023-06-25 19:58:48.521072
751,TK,Teekay,1,1,891,1,2023-06-25 19:58:48.521072
752,UPS,United Parcel Service,1,1,83,3,2023-06-25 19:58:48.521072
753,ROKU,Roku,1,2,892,1,2023-06-25 19:58:48.521072
754,AR,Antero Resources,1,4,45,6,2023-06-25 19:58:48.521072
755,PICK,BlackRock Institutional Trust Company N.A. - BTC iShares MSCI Global M,1,1,895,1,2023-06-25 19:58:48.521072
756,MF,Missfresh,1,1,84,4,2023-06-25 19:58:48.521072
757,CMA,Comerica,1,2,898,1,2023-06-25 19:58:48.521072
758,OLED,Universal Display Corporation,1,2,899,1,2023-06-25 19:58:48.521072
759,CCS,Century Communities,1,4,900,1,2023-06-25 19:58:48.521072
760,SHW,Sherwin-Williams,1,11,895,1,2023-06-25 19:58:48.521072
761,NDAQ,Nasdaq,1,1,902,1,2023-06-25 19:58:48.521072
762,AZ,A2Z Smart Technologies,1,1,138,2,2023-06-25 19:58:48.521072
763,SLV,BlackRock Institutional Trust Company N.A. - BTC iShares Silver Trust,1,1,910,1,2023-06-25 19:58:48.521072
764,OUT,Outfront Media,1,-4,904,1,2023-06-25 19:58:48.521072
765,AMR,Alpha Metallurgical Resources,1,0,905,1,2023-06-25 19:58:48.521072
766,RCL,Royal Caribbean,1,3,906,1,2023-06-25 19:58:48.521072
767,WFRD,Weatherford International,1,1,907,1,2023-06-25 19:58:48.521072
768,DT,Dynatrace,1,2,908,1,2023-06-25 19:58:48.521072
769,LI,Li Auto,1,10,909,1,2023-06-25 19:58:48.521072
770,OR,Osisko Gold Royalties,1,1,46,6,2023-06-25 19:58:48.521072
771,CLX,Clorox,1,8,905,1,2023-06-25 19:58:48.521072
772,DB,Deutsche Bank,1,2,910,1,2023-06-25 19:58:48.521072
773,GS,Goldman Sachs,1,0,63,1,2023-06-25 19:58:48.521072
774,NFE,New Fortress Energy,1,4,0,,2023-06-25 19:58:48.521072
775,CAR,Avis Budget Group,1,4,913,1,2023-06-25 19:58:48.521072
776,BTAI,BioXcel Therapeutics,1,1,914,1,2023-06-25 19:58:48.521072
777,BOWL,Bowlero,1,1,915,1,2023-06-25 19:58:48.521072
778,LIFE,aTyr Pharma,1,2,916,1,2023-06-25 19:58:48.521072
779,DAX,Global X Funds - Global X DAX Germany ETF,1,2,917,1,2023-06-25 19:58:48.521072
780,BAC,Bank of America,1,0,918,1,2023-06-25 19:58:48.521072
781,GAN,GAN,1,-1,0,,2023-06-25 19:58:48.521072
782,ESG,FlexShares Trust - FlexShares STOXX US ESG Impact Index Fund,1,1,921,1,2023-06-25 19:58:48.521072
783,MOAT,VanEck Vectors ETF Trust - VanEck Vectors Morningstar Wide Moat ETF,1,1,922,1,2023-06-25 19:58:48.521072
784,EBAY,eBay,1,0,923,1,2023-06-25 19:58:48.521072
785,DNA,Ginkgo Bioworks,1,1,924,1,2023-06-25 19:58:48.521072
786,DE,Deere & Company,1,1,925,1,2023-06-25 19:58:48.521072
787,WGS,GeneDx Holdings,1,-6,926,1,2023-06-25 19:58:48.521072
788,NICE,NICE,1,1,724,,2023-06-25 19:58:48.521072
789,OMFL,Invesco Capital Management LLC - Invesco Russell 1000 Dynamic Multifac,1,-2,928,1,2023-06-25 19:58:48.521072
790,YNDX,Yandex,1,1,931,1,2023-06-25 19:58:48.521072
791,BND,"Vanguard Group, Inc. - Vanguard Total Bond Market ETF",1,1,933,1,2023-06-25 19:58:48.521072
792,CMG,Chipotle Mexican Grill,1,1,934,1,2023-06-25 19:58:48.521072
793,ALLO,Allogene Therapeutics,1,4,937,1,2023-06-25 19:58:48.521072
794,UCO,ProShares Trust - ProShares Ultra Bloomberg Crude Oil,1,2,0,,2023-06-25 19:58:48.521072
